"ID (a)" "Genes (b)" "num (c) " "neg|score (d)" "neg|p-value (e) " "neg|fdr (f)" "neg|rank (g)" "neg|goodsgrna (h)" "neg|lfc (i)" "pos|score (j)" "pos|p-value (k)" "pos|fdr (l)" "pos|rank (m)" "pos|goodsgrna (n)" "pos|lfc (o)"
ENSG00000101144 BMP7 30 0.1615 0.6248 1 7444 13 -0.011739 0.24265 0.23863 0.453609 9934 11 -0.011739
ENSG00000163519 TRAT1 30 0.47523 0.89821 1 12816 9 0.040638 0.24271 0.23863 0.453609 9935 12 0.040638
ENSG00000146083 RNF44 28 0.29673 0.776 1 10217 7 0.036791 0.24276 0.24491 0.459762 9936 10 0.036791
ENSG00000163746 PLSCR2 30 0.081611 0.41609 1 5381 12 -0.087943 0.24293 0.23875 0.453609 9937 8 -0.087943
ENSG00000263353 PPIAL4A 6 0.19532 0.42745 1 8224 2 -0.082495 0.24298 0.26114 0.483307 9938 3 -0.082495
ENSG00000173210 ABLIM3 30 0.038642 0.26773 1 3848 15 -0.15318 0.243 0.23896 0.453609 9939 8 -0.15318
ENSG00000164078 MST1R 30 0.35063 0.82575 1 11061 11 0.12841 0.24305 0.23896 0.453609 9940 12 0.12841
ENSG00000164841 TMEM74 30 0.52554 0.92051 1 13429 10 -0.037141 0.24307 0.23896 0.453609 9941 11 -0.037141
ENSG00000197619 ZNF615 30 0.12326 0.52498 1 6548 7 0.014248 0.24311 0.23896 0.453609 9942 10 0.014248
ENSG00000186130 ZBTB6 30 0.1527 0.59492 1 7244 9 -0.031315 0.24317 0.23896 0.453609 9943 8 -0.031315
ENSG00000198189 HSD17B11 30 0.06119 0.34887 1 4678 11 -0.014941 0.2432 0.23896 0.453609 9944 12 -0.014941
ENSG00000168496 FEN1 30 0.084001 0.42527 1 5461 14 -0.026985 0.24322 0.23896 0.453609 9945 8 -0.026985
ENSG00000152942 RAD17 30 0.055809 0.33485 1 4495 13 -0.093891 0.24342 0.23896 0.453609 9946 10 -0.093891
ENSG00000166822 TMEM170A 24 0.033278 0.22257 1 3600 9 -0.11783 0.24346 0.25421 0.474636 9947 6 -0.11783
ENSG00000160959 LRRC14 30 0.38799 0.85121 1 11637 11 -0.104 0.24354 0.23896 0.453609 9948 9 -0.104
ENSG00000111885 MAN1A1 30 0.072376 0.39022 1 5053 11 -0.076476 0.24354 0.23896 0.453609 9949 10 -0.076476
ENSG00000117114 ADGRL2 30 0.28817 0.77753 1 10054 12 -0.03936 0.24355 0.23896 0.453609 9950 12 -0.03936
ENSG00000110665 C11orf21 30 0.20678 0.68345 1 8446 7 -0.0058221 0.244 0.2391 0.453609 9951 9 -0.0058221
ENSG00000148600 CDHR1 30 0.34452 0.8217 1 10965 9 0.049684 0.244 0.2391 0.453609 9952 12 0.049684
ENSG00000131482 G6PC 30 0.00018134 0.0043653 0.093475 877 16 -0.32195 0.24401 0.2391 0.453609 9953 5 -0.32195
ENSG00000226023 CT47A6 6 0.08108 0.25273 1 5359 2 0.0055912 0.24402 0.26114 0.483307 9954 3 0.0055912
ENSG00000136161 RCBTB2 30 0.05389 0.32837 1 4437 9 -0.012272 0.24416 0.2391 0.453609 9955 10 -0.012272
ENSG00000176024 ZNF613 30 0.13966 0.56886 1 6932 10 0.059687 0.24421 0.2391 0.453609 9956 11 0.059687
ENSG00000135677 GNS 30 0.24503 0.7293 1 9236 6 0.10937 0.24422 0.2391 0.453609 9957 11 0.10937
ENSG00000118705 RPN2 30 0.078546 0.40895 1 5262 12 0.0054744 0.24423 0.2391 0.453609 9958 10 0.0054744
ENSG00000204866 IGFL2 30 0.09584 0.46417 1 5799 13 -0.16904 0.24424 0.2391 0.453609 9959 8 -0.16904
ENSG00000144908 ALDH1L1 30 0.10462 0.48445 1 6080 13 -0.080292 0.24424 0.2391 0.453609 9960 7 -0.080292
ENSG00000197093 GAL3ST4 30 0.37562 0.84366 1 11445 11 -0.066182 0.24426 0.2391 0.453609 9961 8 -0.066182
ENSG00000271383 NBPF19 30 0.26096 0.74604 1 9548 12 0.070925 0.24427 0.2391 0.453609 9962 11 0.070925
ENSG00000214128 TMEM213 30 0.067449 0.36657 1 4889 13 0.06217 0.24431 0.2391 0.453609 9963 10 0.06217
ENSG00000198363 ASPH 30 0.22852 0.70979 1 8897 10 -0.034592 0.24452 0.23921 0.453636 9964 9 -0.034592
ENSG00000166181 API5 30 0.68106 0.96435 1 15194 7 0.063849 0.24457 0.23921 0.453636 9965 11 0.063849
ENSG00000270188 MTRNR2L11 24 0.22472 0.67418 1 8823 7 0.039908 0.24462 0.25535 0.476711 9966 9 0.039908
ENSG00000158710 TAGLN2 30 0.027667 0.2159 1 3349 13 -0.091035 0.24463 0.23921 0.453636 9967 9 -0.091035
ENSG00000183019 MCEMP1 30 0.32372 0.80644 1 10667 8 0.04335 0.24468 0.23937 0.453884 9968 10 0.04335
ENSG00000198574 SH2D1B 30 0.047809 0.30656 1 4215 10 -0.081919 0.24478 0.23965 0.454215 9969 11 -0.081919
ENSG00000224902 GAGE12H 18 0.47009 0.84849 1 12755 3 0.074278 0.24482 0.26864 0.491977 9970 8 0.074278
ENSG00000164114 MAP9 30 0.018954 0.17267 1 2897 9 0.084759 0.24485 0.23965 0.454215 9971 11 0.084759
ENSG00000139193 CD27 30 0.24543 0.73026 1 9244 10 -0.08733 0.24505 0.23965 0.454215 9972 11 -0.08733
ENSG00000154114 TBCEL 30 0.55662 0.9335 1 13861 9 0.094463 0.24522 0.23999 0.454373 9973 12 0.094463
ENSG00000164253 WDR41 30 0.41571 0.86742 1 12058 10 -0.026023 0.2453 0.23999 0.454373 9974 9 -0.026023
ENSG00000283439 SPEM3 30 0.17209 0.64215 1 7696 12 -0.14996 0.24533 0.23999 0.454373 9975 11 -0.14996
ENSG00000067798 NAV3 30 0.15696 0.60433 1 7343 12 -0.10014 0.24535 0.23999 0.454373 9976 10 -0.10014
ENSG00000113522 RAD50 30 0.079214 0.41097 1 5289 13 -0.11817 0.24549 0.23999 0.454373 9977 8 -0.11817
ENSG00000011021 CLCN6 30 0.57008 0.93791 1 14025 6 0.045617 0.2455 0.23999 0.454373 9978 10 0.045617
ENSG00000159915 ZNF233 30 0.44112 0.88463 1 12398 10 0.02464 0.24555 0.23999 0.454373 9979 10 0.02464
ENSG00000157551 KCNJ15 30 0.0040586 0.052859 0.552462 1795 15 -0.20491 0.24564 0.23999 0.454373 9980 8 -0.20491
ENSG00000142611 PRDM16 30 0.69218 0.96674 1 15303 5 0.072598 0.24568 0.23999 0.454373 9981 11 0.072598
ENSG00000138166 DUSP5 30 0.0018675 0.029153 0.37799 1446 15 -0.18463 0.24576 0.24016 0.454602 9982 6 -0.18463
ENSG00000105261 OVOL3 30 0.69937 0.96858 1 15371 9 0.089738 0.24582 0.24016 0.454602 9983 12 0.089738
ENSG00000164897 TMUB1 30 0.05366 0.32746 1 4430 7 -0.04359 0.24591 0.24034 0.454896 9984 10 -0.04359
ENSG00000158769 F11R 30 0.1176 0.51257 1 6386 10 -0.040841 0.24598 0.24054 0.455231 9985 10 -0.040841
ENSG00000185689 C6orf201 24 0.18091 0.61604 1 7915 9 0.036593 0.24608 0.25642 0.478654 9986 8 0.036593
ENSG00000035664 DAPK2 30 0.0003316 0.0074025 0.139092 997 18 -0.34937 0.24609 0.24072 0.455257 9987 5 -0.34937
ENSG00000180488 MIGA1 30 0.14586 0.5867 1 7078 13 -0.074393 0.24617 0.24072 0.455257 9988 5 -0.074393
ENSG00000168026 TTC21A 30 0.26724 0.75407 1 9659 9 0.14554 0.24618 0.24072 0.455257 9989 12 0.14554
ENSG00000101193 GID8 30 0.051246 0.31786 1 4344 14 -0.18404 0.24624 0.24072 0.455257 9990 10 -0.18404
ENSG00000139767 SRRM4 30 0.34497 0.82224 1 10971 11 0.0057404 0.24626 0.24072 0.455257 9991 11 0.0057404
ENSG00000093072 ADA2 30 0.13322 0.55131 1 6774 11 -0.037096 0.24634 0.24072 0.455257 9992 10 -0.037096
ENSG00000175213 ZNF408 30 0.17968 0.65319 1 7881 11 -0.03476 0.24637 0.24072 0.455257 9993 9 -0.03476
ENSG00000006788 MYH13 30 0.083429 0.41969 1 5445 12 -0.078589 0.24644 0.24082 0.455257 9994 8 -0.078589
ENSG00000128951 DUT 30 9.20E-05 0.0026061 0.064604 759 18 -0.53345 0.24645 0.24082 0.455257 9995 8 -0.53345
ENSG00000179071 CCDC89 30 0.26016 0.74567 1 9531 11 0.068898 0.24645 0.24082 0.455257 9996 10 0.068898
ENSG00000170262 MRAP 30 0.073158 0.39311 1 5087 11 -0.049822 0.24648 0.24104 0.455629 9997 12 -0.049822
ENSG00000007402 CACNA2D2 30 0.15077 0.59235 1 7199 11 0.037965 0.2466 0.24114 0.455695 9998 11 0.037965
ENSG00000124459 ZNF45 30 0.3183 0.80298 1 10568 10 0.077623 0.2466 0.24114 0.455695 9999 12 0.077623
ENSG00000170379 TCAF2 30 0.051575 0.31815 1 4351 12 -0.085777 0.24662 0.24115 0.455695 10000 9 -0.085777
ENSG00000185924 RTN4RL1 30 0.12207 0.52274 1 6519 10 -0.017965 0.2467 0.24153 0.456099 10001 11 -0.017965
ENSG00000143222 UFC1 30 0.029204 0.22333 1 3406 10 -0.10085 0.24672 0.24153 0.456099 10002 5 -0.10085
ENSG00000186479 RGS7BP 30 0.11262 0.50263 1 6265 10 0.012374 0.2469 0.24153 0.456099 10003 9 0.012374
ENSG00000168038 ULK4 30 0.17074 0.63969 1 7655 12 -0.018901 0.24691 0.24153 0.456099 10004 11 -0.018901
ENSG00000197061 HIST1H4C 30 0.19109 0.66491 1 8135 9 0.077484 0.24693 0.24153 0.456099 10005 11 0.077484
ENSG00000182287 AP1S2 30 0.002898 0.041242 0.471245 1641 14 -0.15948 0.24697 0.24153 0.456099 10006 7 -0.15948
ENSG00000150773 PIH1D2 30 0.24152 0.72338 1 9161 10 -0.065427 0.247 0.24153 0.456099 10007 9 -0.065427
ENSG00000107789 MINPP1 30 0.29978 0.79011 1 10261 9 -0.031239 0.24707 0.24205 0.457045 10008 9 -0.031239
ENSG00000022567 SLC45A4 30 0.08398 0.42527 1 5459 13 -0.1829 0.24714 0.2422 0.457193 10009 9 -0.1829
ENSG00000170214 ADRA1B 30 0.39419 0.85486 1 11733 8 -0.0066091 0.24716 0.2422 0.457193 10010 10 -0.0066091
ENSG00000160318 CLDND2 30 0.20588 0.68225 1 8425 10 -0.092941 0.24743 0.24232 0.457193 10011 11 -0.092941
ENSG00000121406 ZNF549 30 0.12923 0.54426 1 6677 10 -0.034931 0.24747 0.24232 0.457193 10012 7 -0.034931
ENSG00000151135 TMEM263 30 0.25288 0.73662 1 9394 8 -0.048643 0.24749 0.24233 0.457193 10013 11 -0.048643
ENSG00000189292 ALKAL2 30 0.033888 0.24507 1 3622 10 -0.093644 0.24757 0.24233 0.457193 10014 10 -0.093644
ENSG00000196549 MME 30 0.30498 0.79287 1 10331 9 0.084294 0.24757 0.24233 0.457193 10015 12 0.084294
ENSG00000168067 MAP4K2 30 0.4079 0.86306 1 11941 8 0.075114 0.24762 0.24233 0.457193 10016 9 0.075114
ENSG00000162063 CCNF 30 0.57718 0.93951 1 14108 5 0.11482 0.24781 0.24269 0.457751 10017 12 0.11482
ENSG00000185101 ANO9 30 0.26454 0.75139 1 9612 8 0.004216 0.24791 0.24269 0.457751 10018 11 0.004216
ENSG00000077616 NAALAD2 30 0.70009 0.96907 1 15383 9 0.044333 0.2481 0.24281 0.457919 10019 11 0.044333
ENSG00000170604 IRF2BP1 30 0.29411 0.78592 1 10165 9 -0.013702 0.2482 0.2429 0.458049 10020 9 -0.013702
ENSG00000198843 SELENOT 30 0.44247 0.88572 1 12416 9 -0.02688 0.24832 0.2433 0.458637 10021 12 -0.02688
ENSG00000196468 FGF16 30 0.0016789 0.02698 0.359342 1408 18 -0.27656 0.24833 0.24338 0.458637 10022 9 -0.27656
ENSG00000182923 CEP63 30 0.092257 0.4536 1 5683 13 -0.041511 0.24835 0.24338 0.458637 10023 12 -0.041511
ENSG00000112561 TFEB 30 0.28819 0.77753 1 10055 10 0.0023294 0.24847 0.24338 0.458637 10024 12 0.0023294
ENSG00000186105 LRRC70 30 0.10221 0.4797 1 6003 12 -0.19289 0.24852 0.24338 0.458637 10025 6 -0.19289
ENSG00000179407 DNAJB8 30 0.14774 0.58907 1 7125 8 0.079617 0.24855 0.24338 0.458637 10026 11 0.079617
ENSG00000143515 ATP8B2 30 0.64594 0.95685 1 14836 5 0.036629 0.24864 0.24338 0.458637 10027 10 0.036629
ENSG00000146674 IGFBP3 30 0.046859 0.30219 1 4180 7 0.0062787 0.24879 0.24353 0.458678 10028 12 0.0062787
ENSG00000162373 BEND5 30 0.32388 0.80644 1 10670 11 -0.026606 0.24879 0.24353 0.458678 10029 9 -0.026606
ENSG00000119650 IFT43 30 0.8965 0.99522 1 17175 5 0.015161 0.24885 0.24353 0.458678 10030 10 0.015161
ENSG00000149716 ORAOV1 30 0.21845 0.69787 1 8693 8 -0.07471 0.24888 0.24353 0.458678 10031 11 -0.07471
ENSG00000111700 SLCO1B3 30 0.12987 0.54568 1 6696 13 0.029026 0.24902 0.24409 0.459008 10032 9 0.029026
ENSG00000149260 CAPN5 24 0.52884 0.90197 1 13470 7 -0.039253 0.24921 0.25765 0.480723 10033 6 -0.039253
ENSG00000204922 UQCC3 30 0.51908 0.91669 1 13353 9 0.016216 0.24923 0.24409 0.459008 10034 12 0.016216
ENSG00000168538 TRAPPC11 30 0.033039 0.24102 1 3584 13 -0.2017 0.24927 0.24409 0.459008 10035 7 -0.2017
ENSG00000113140 SPARC 30 0.13433 0.55375 1 6803 10 -0.075822 0.24934 0.24409 0.459008 10036 11 -0.075822
ENSG00000102794 ACOD1 30 0.44949 0.88897 1 12494 6 0.060179 0.24939 0.24409 0.459008 10037 11 0.060179
ENSG00000205309 NT5M 30 0.0081596 0.090527 0.778253 2184 8 -0.0524 0.2495 0.24409 0.459008 10038 10 -0.0524
ENSG00000058799 YIPF1 30 0.058764 0.34265 1 4578 14 -0.055773 0.24952 0.24409 0.459008 10039 12 -0.055773
ENSG00000130768 SMPDL3B 30 0.57931 0.94065 1 14132 7 0.053483 0.24956 0.24409 0.459008 10040 10 0.053483
ENSG00000005469 CROT 30 0.13813 0.56239 1 6898 11 -0.090534 0.24961 0.24409 0.459008 10041 8 -0.090534
ENSG00000169246 NPIPB3 5 0.91333 0.94386 1 17319 0 0.0946 0.24961 0.26778 0.490445 10042 2 0.0946
ENSG00000094631 HDAC6 30 0.25555 0.74066 1 9447 9 0.012589 0.2497 0.24409 0.459008 10043 11 0.012589
ENSG00000072071 ADGRL1 30 0.19364 0.66764 1 8191 9 0.037311 0.2497 0.24409 0.459008 10044 11 0.037311
ENSG00000161671 EMC10 30 0.77803 0.983 1 16065 6 0.034782 0.24971 0.24409 0.459008 10045 11 0.034782
ENSG00000139793 MBNL2 30 0.25515 0.74047 1 9444 11 0.015594 0.24972 0.24409 0.459008 10046 9 0.015594
ENSG00000175104 TRAF6 30 0.12415 0.53036 1 6564 9 -0.037893 0.24981 0.24409 0.459008 10047 10 -0.037893
ENSG00000063180 CA11 30 0.74369 0.97811 1 15798 7 0.092427 0.24982 0.24409 0.459008 10048 12 0.092427
ENSG00000153485 TMEM251 30 0.11755 0.51257 1 6385 10 -0.025133 0.24985 0.24409 0.459008 10049 10 -0.025133
ENSG00000120903 CHRNA2 30 0.055746 0.33467 1 4488 9 0.058883 0.24989 0.2442 0.459167 10050 10 0.058883
ENSG00000124253 PCK1 30 0.11813 0.51286 1 6403 9 -0.020776 0.25007 0.24436 0.459326 10051 12 -0.020776
ENSG00000131127 ZNF141 30 0.09607 0.46464 1 5811 12 -0.10616 0.25012 0.24436 0.459326 10052 10 -0.10616
ENSG00000174373 RALGAPA1 30 0.67931 0.96413 1 15181 7 0.08132 0.25023 0.24436 0.459326 10053 11 0.08132
ENSG00000197479 PCDHB11 30 0.29637 0.78797 1 10207 10 0.00039881 0.25048 0.24452 0.459409 10054 12 0.00039881
ENSG00000197275 RAD54B 24 0.43825 0.86424 1 12357 7 -0.064311 0.25048 0.25793 0.481146 10055 9 -0.064311
ENSG00000166220 TBATA 24 0.076155 0.3851 1 5185 11 -0.17095 0.25049 0.25793 0.481146 10056 4 -0.17095
ENSG00000132196 HSD17B7 30 0.13291 0.55131 1 6765 11 -0.12248 0.25069 0.24452 0.459409 10057 9 -0.12248
ENSG00000134539 KLRD1 30 0.31824 0.80298 1 10566 11 -0.026703 0.25072 0.24452 0.459409 10058 9 -0.026703
ENSG00000213265 TSGA13 30 0.73556 0.97711 1 15730 7 0.097531 0.25076 0.24452 0.459409 10059 11 0.097531
ENSG00000134602 STK26 30 0.0092666 0.10842 0.89026 2275 13 -0.15088 0.25087 0.24452 0.459409 10060 10 -0.15088
ENSG00000170476 MZB1 30 0.14069 0.56965 1 6959 11 -0.048122 0.251 0.24464 0.459449 10061 9 -0.048122
ENSG00000139517 LNX2 30 0.035905 0.25741 1 3707 9 -0.038852 0.25106 0.24464 0.459449 10062 6 -0.038852
ENSG00000146926 ASB10 30 0.2132 0.68932 1 8589 9 0.030971 0.25136 0.24464 0.459449 10063 11 0.030971
ENSG00000125533 BHLHE23 30 0.49322 0.90584 1 13019 6 0.047347 0.25144 0.24464 0.459449 10064 12 0.047347
ENSG00000135185 TMEM243 30 0.37194 0.8424 1 11395 10 -0.030719 0.25159 0.24484 0.459721 10065 10 -0.030719
ENSG00000167065 DUSP18 30 0.050498 0.31602 1 4317 14 -0.16951 0.25159 0.24484 0.459721 10066 9 -0.16951
ENSG00000166924 NYAP1 30 0.66786 0.96146 1 15070 7 0.071841 0.25171 0.24512 0.459762 10067 12 0.071841
ENSG00000088035 ALG6 30 0.02516 0.20569 1 3230 12 -0.073753 0.2518 0.24512 0.459762 10068 9 -0.073753
ENSG00000102743 SLC25A15 30 0.095777 0.46385 1 5794 13 -0.16888 0.25188 0.24512 0.459762 10069 7 -0.16888
ENSG00000107821 KAZALD1 30 0.097213 0.46684 1 5852 13 -0.033638 0.25195 0.24512 0.459762 10070 11 -0.033638
ENSG00000095587 TLL2 30 0.18818 0.66072 1 8069 10 -0.071851 0.25197 0.24512 0.459762 10071 8 -0.071851
ENSG00000260691 ANKRD20A1 18 0.084203 0.37397 1 5467 9 -0.19885 0.25198 0.27787 0.503577 10072 6 -0.19885
ENSG00000165895 ARHGAP42 30 0.62369 0.95211 1 14611 9 0.10055 0.25207 0.24512 0.459762 10073 9 0.10055
ENSG00000120253 NUP43 30 0.22698 0.70833 1 8869 11 -0.099228 0.25215 0.24512 0.459762 10074 8 -0.099228
ENSG00000176988 FMR1NB 30 0.097516 0.46871 1 5860 9 -0.062333 0.25216 0.24512 0.459762 10075 11 -0.062333
ENSG00000198355 PIM3 30 0.073015 0.39252 1 5080 14 -0.1255 0.25218 0.24512 0.459762 10076 8 -0.1255
ENSG00000163421 PROK2 30 0.33274 0.81309 1 10792 9 0.10352 0.25233 0.2453 0.459963 10077 12 0.10352
ENSG00000176681 LRRC37A 24 0.12807 0.5221 1 6645 6 -0.039618 0.25239 0.26074 0.482847 10078 6 -0.039618
ENSG00000154143 PANX3 24 0.49933 0.89033 1 13095 5 0.11813 0.25241 0.26074 0.482847 10079 10 0.11813
ENSG00000102468 HTR2A 30 0.024224 0.20157 1 3173 10 -0.0014298 0.25243 0.2453 0.459963 10080 12 -0.0014298
ENSG00000132275 RRP8 30 0.54982 0.93096 1 13768 7 -0.018997 0.25264 0.24531 0.459963 10081 12 -0.018997
ENSG00000183878 UTY 30 0.20463 0.68095 1 8409 12 -0.015875 0.25283 0.24556 0.460104 10082 12 -0.015875
ENSG00000179933 C14orf119 30 0.51962 0.91686 1 13360 8 -0.03389 0.25289 0.24556 0.460104 10083 12 -0.03389
ENSG00000116106 EPHA4 30 0.68539 0.9651 1 15240 7 0.12856 0.2529 0.24556 0.460104 10084 12 0.12856
ENSG00000163026 WDCP 30 0.38096 0.84676 1 11534 7 0.061654 0.25295 0.24556 0.460104 10085 12 0.061654
ENSG00000088812 ATRN 30 0.060897 0.34756 1 4667 12 0.096341 0.25296 0.24556 0.460104 10086 11 0.096341
ENSG00000141431 ASXL3 30 0.83707 0.99053 1 16658 6 0.086884 0.25304 0.24556 0.460104 10087 11 0.086884
ENSG00000230549 USP17L1 30 0.11734 0.51257 1 6379 12 -0.002204 0.25311 0.24565 0.460104 10088 12 -0.002204
ENSG00000184164 CRELD2 30 0.068648 0.36948 1 4921 11 -0.13115 0.25323 0.24565 0.460104 10089 6 -0.13115
ENSG00000204669 C9orf57 30 0.43426 0.88124 1 12306 11 -0.1044 0.25331 0.24565 0.460104 10090 10 -0.1044
ENSG00000253368 TRNP1 30 0.13654 0.56018 1 6858 7 -0.0020418 0.25334 0.24565 0.460104 10091 10 -0.0020418
ENSG00000133641 C12orf29 27 0.16314 0.61041 1 7480 8 -0.010121 0.25349 0.26041 0.482575 10092 8 -0.010121
ENSG00000082515 MRPL22 30 0.017963 0.16709 1 2854 15 -0.23495 0.2535 0.2458 0.460244 10093 9 -0.23495
ENSG00000174343 CHRNA9 30 0.20947 0.68531 1 8511 12 -0.026411 0.25353 0.2458 0.460244 10094 7 -0.026411
ENSG00000172890 NADSYN1 30 0.47322 0.89756 1 12789 6 0.10345 0.25354 0.2458 0.460244 10095 12 0.10345
ENSG00000066135 KDM4A 30 0.27738 0.76658 1 9847 11 0.021853 0.25367 0.24614 0.460711 10096 10 0.021853
ENSG00000085719 CPNE3 30 0.21698 0.6951 1 8662 7 0.071075 0.25372 0.24614 0.460711 10097 12 0.071075
ENSG00000187866 FAM122A 30 0.0048215 0.060458 0.608943 1868 15 -0.36027 0.25373 0.24614 0.460711 10098 5 -0.36027
ENSG00000147883 CDKN2B 30 0.44439 0.88645 1 12432 9 -0.070802 0.2539 0.24677 0.461828 10099 8 -0.070802
ENSG00000145723 GIN1 30 0.59772 0.94592 1 14357 5 0.11039 0.25396 0.24692 0.461898 10100 12 0.11039
ENSG00000134440 NARS 28 0.41144 0.85796 1 11998 10 -0.13604 0.25399 0.25832 0.48156 10101 8 -0.13604
ENSG00000162804 SNED1 30 0.061907 0.35112 1 4710 14 -0.16316 0.254 0.24692 0.461898 10102 11 -0.16316
ENSG00000102076 OPN1LW 30 0.050667 0.31654 1 4326 13 -0.058474 0.254 0.24692 0.461898 10103 10 -0.058474
ENSG00000114331 ACAP2 30 0.3387 0.81665 1 10876 10 0.031051 0.25403 0.24693 0.461898 10104 12 0.031051
ENSG00000144837 PLA1A 30 0.091375 0.448 1 5650 13 -0.15996 0.25403 0.24693 0.461898 10105 12 -0.15996
ENSG00000141013 GAS8 30 0.96732 0.9991 1 17882 4 0.12861 0.25416 0.24734 0.462301 10106 11 0.12861
ENSG00000170509 HSD17B13 30 0.14778 0.58907 1 7127 12 -0.070432 0.25423 0.24734 0.462301 10107 11 -0.070432
ENSG00000168758 SEMA4C 30 0.018472 0.16967 1 2877 16 -0.23079 0.25425 0.24734 0.462301 10108 8 -0.23079
ENSG00000133110 POSTN 30 0.025054 0.20517 1 3220 14 -0.16465 0.25431 0.24734 0.462301 10109 10 -0.16465
ENSG00000104722 NEFM 30 0.028226 0.21887 1 3369 15 -0.15068 0.25445 0.24734 0.462301 10110 8 -0.15068
ENSG00000261949 GFY 30 0.39503 0.85557 1 11746 7 0.091655 0.25447 0.24734 0.462301 10111 12 0.091655
ENSG00000198049 AVPR1B 30 0.24322 0.7275 1 9198 12 -0.080784 0.25452 0.24734 0.462301 10112 8 -0.080784
ENSG00000184210 DGAT2L6 30 0.49049 0.90478 1 12986 10 0.025954 0.25453 0.24734 0.462301 10113 11 0.025954
ENSG00000162722 TRIM58 30 0.21097 0.68689 1 8540 10 -0.10611 0.2547 0.24821 0.463793 10114 8 -0.10611
ENSG00000112320 SOBP 30 0.11835 0.51305 1 6409 13 0.037533 0.2547 0.24821 0.463793 10115 10 0.037533
ENSG00000068985 PAGE1 30 0.58406 0.94167 1 14198 8 -0.01855 0.25475 0.24821 0.463793 10116 9 -0.01855
ENSG00000183662 FAM19A1 30 0.021843 0.18995 1 3050 12 -0.14523 0.25489 0.24864 0.464513 10117 6 -0.14523
ENSG00000133800 LYVE1 30 0.2185 0.69808 1 8695 11 -0.017153 0.25489 0.24864 0.464513 10118 11 -0.017153
ENSG00000115904 SOS1 30 0.027447 0.21524 1 3332 15 -0.18425 0.25511 0.24919 0.465439 10119 8 -0.18425
ENSG00000143845 ETNK2 30 0.29896 0.78984 1 10252 9 0.051471 0.25529 0.2495 0.465973 10120 12 0.051471
ENSG00000143590 EFNA3 30 0.36561 0.83794 1 11305 11 -0.0023019 0.25546 0.25745 0.480441 10121 12 -0.0023019
ENSG00000118640 VAMP8 30 0.0010466 0.019065 0.281431 1271 17 -0.32235 0.25549 0.25745 0.480441 10122 2 -0.32235
ENSG00000010282 HHATL 30 0.34122 0.81903 1 10915 9 0.083994 0.25549 0.25745 0.480441 10123 10 0.083994
ENSG00000215547 DEFB115 30 0.036681 0.26176 1 3747 13 -0.16722 0.25552 0.25761 0.480699 10124 8 -0.16722
ENSG00000164038 SLC9B2 30 0.92994 0.99762 1 17476 5 0.13013 0.25553 0.25813 0.481469 10125 12 0.13013
ENSG00000130829 DUSP9 30 0.011015 0.12302 0.960956 2394 16 -0.28155 0.25557 0.25823 0.48156 10126 6 -0.28155
ENSG00000182220 ATP6AP2 30 0.55283 0.93193 1 13811 7 0.017427 0.25569 0.25823 0.48156 10127 11 0.017427
ENSG00000135776 ABCB10 30 0.076952 0.40486 1 5209 14 -0.14638 0.25575 0.2584 0.48156 10128 6 -0.14638
ENSG00000182782 HCAR2 30 0.46475 0.89474 1 12677 7 0.089192 0.25578 0.2584 0.48156 10129 12 0.089192
ENSG00000155363 MOV10 30 0.475 0.89821 1 12813 10 0.043675 0.25581 0.2584 0.48156 10130 10 0.043675
ENSG00000105894 PTN 30 0.21262 0.68919 1 8578 12 -0.065122 0.25582 0.2584 0.48156 10131 9 -0.065122
ENSG00000184635 ZNF93 30 0.91838 0.9969 1 17370 7 0.089271 0.25587 0.25881 0.48156 10132 11 0.089271
ENSG00000184731 FAM110C 30 0.18807 0.66072 1 8067 12 -0.11224 0.2562 0.25881 0.48156 10133 10 -0.11224
ENSG00000100599 RIN3 30 0.14852 0.5898 1 7144 13 -0.091357 0.25626 0.25892 0.48156 10134 8 -0.091357
ENSG00000198937 CCDC167 30 0.34501 0.82224 1 10972 8 0.1012 0.2563 0.25892 0.48156 10135 11 0.1012
ENSG00000072571 HMMR 30 0.17815 0.65077 1 7847 10 -0.11312 0.25661 0.25892 0.48156 10136 10 -0.11312
ENSG00000153162 BMP6 30 0.55329 0.93193 1 13819 9 -0.060355 0.25662 0.25892 0.48156 10137 8 -0.060355
ENSG00000187527 ATP13A5 30 0.2016 0.67893 1 8362 10 0.055604 0.25663 0.25892 0.48156 10138 10 0.055604
ENSG00000132259 CNGA4 30 0.74806 0.97865 1 15820 8 -0.040017 0.25666 0.25892 0.48156 10139 11 -0.040017
ENSG00000123983 ACSL3 30 0.68389 0.96478 1 15231 8 0.14186 0.25673 0.25892 0.48156 10140 11 0.14186
ENSG00000107854 TNKS2 30 0.26103 0.74622 1 9549 10 0.029029 0.25679 0.25892 0.48156 10141 12 0.029029
ENSG00000064666 CNN2 30 0.54975 0.93096 1 13767 8 0.0016009 0.25685 0.25892 0.48156 10142 11 0.0016009
ENSG00000204661 C5orf60 24 0.15597 0.58031 1 7322 8 0.056159 0.25687 0.26956 0.493612 10143 8 0.056159
ENSG00000177076 ACER2 30 0.07823 0.4081 1 5247 12 0.0067774 0.25688 0.25892 0.48156 10144 11 0.0067774
